iteration,area,lev,command
0,46836,114,"rwz"
1,46673,114,"rwz"
2,46527,114,"rwz"
3,46431,114,"rwz"
4,46339,114,"rwz"
5,46269,114,"rwz"
6,46225,114,"rwz"
7,46173,114,"rwz"
8,46129,114,"rwz"
9,46088,114,"rwz"
10,46059,114,"rwz"
11,46036,114,"rwz"
12,46010,114,"rwz"
13,45980,114,"rwz"
14,45960,114,"rwz"
15,45940,114,"rwz"
16,45937,114,"rwz"
17,45930,114,"rwz"
18,45922,114,"rwz"
19,45919,114,"rwz"
20,45916,114,"rwz"
21,45912,114,"rwz"
22,45907,114,"rwz"
23,45905,114,"rwz"
24,45905,114,"rwz"
25,45902,114,"rwz"
26,45893,114,"rwz"
27,45893,114,"rwz"
28,45893,114,"rwz"
29,45886,114,"rwz"
30,45886,114,"rwz"
31,45886,114,"rwz"
32,45886,114,"rwz"
33,45886,114,"rwz"
34,45886,114,"rwz"
35,45886,114,"rwz"
36,45886,114,"rwz"
37,45886,114,"rwz"
38,45886,114,"rwz"
39,45886,114,"rwz"
40,45885,114,"rwz"
41,45879,114,"rwz"
42,45878,114,"rwz"
43,45878,114,"rwz"
44,45878,114,"rwz"
45,45877,114,"rwz"
46,45876,114,"rwz"
47,45874,114,"rwz"
48,45874,114,"rwz"
49,45874,114,"rwz"
50,45873,114,"rwz"
51,45871,114,"rwz"
52,45870,114,"rwz"
53,45870,114,"rwz"
54,45870,114,"rwz"
55,45870,114,"rwz"
56,45870,114,"rwz"
57,45870,114,"rwz"
58,45869,114,"rwz"
59,45869,114,"rwz"
60,45869,114,"rwz"
61,45869,114,"rwz"
62,45869,114,"rwz"
63,45869,114,"rwz"
64,45869,114,"rwz"
65,45869,114,"rwz"
66,45869,114,"rwz"
67,45869,114,"rwz"
68,45869,114,"rwz"
69,45869,114,"rwz"
70,45869,114,"rwz"
71,45869,114,"rwz"
72,45869,114,"rwz"
73,45869,114,"rwz"
74,45869,114,"rwz"
75,45869,114,"rwz"
76,45869,114,"rwz"
77,45869,114,"rwz"
0,46836,114,"rfz"
1,46488,114,"rfz"
2,46085,114,"rfz"
3,46014,114,"rfz"
4,45969,114,"rfz"
5,45831,114,"rfz"
6,45717,111,"rfz"
7,45660,110,"rfz"
8,45604,110,"rfz"
9,45601,110,"rfz"
10,45601,110,"rfz"
11,45601,110,"rfz"
12,45601,110,"rfz"
13,45601,110,"rfz"
14,45601,110,"rfz"
15,45601,110,"rfz"
16,45601,110,"rfz"
17,45601,110,"rfz"
18,45601,110,"rfz"
19,45601,110,"rfz"
20,45601,110,"rfz"
21,45601,110,"rfz"
22,45601,110,"rfz"
23,45601,110,"rfz"
24,45601,110,"rfz"
